node_id1,node_id2,ibd_sum,ibd_n,ibd_max,label_id1,label_id2
node_2,node_1829,9.50609,1,9.50609,Estonians,Swedes
node_2,node_1837,9.29771,1,9.29771,Estonians,Swedes
node_2,node_8869,10.6577,1,10.6577,Estonians,Swedes
node_2,node_8891,8.23524,1,8.23524,Estonians,Swedes
node_2,node_11641,13.7109,1,13.7109,Estonians,Swedes
node_6,node_1866,8.00861,1,8.00861,Estonians,Swedes
node_7,node_11532,8.57962,1,8.57962,Estonians,Swedes
node_8,node_1826,8.57422,1,8.57422,Estonians,Swedes
node_8,node_8844,8.68308,1,8.68308,Estonians,Swedes
node_8,node_8845,8.04195,1,8.04195,Estonians,Swedes
node_8,node_11561,11.5605,1,11.5605,Estonians,Swedes
node_11,node_11559,8.92307,1,8.92307,Estonians,Swedes
node_13,node_11521,8.99304,1,8.99304,Estonians,Swedes
node_16117,node_8880,8.30638,1,8.30638,Poles,Swedes
node_16137,node_11546,8.0627,1,8.0627,Poles,Swedes
node_16184,node_10271,8.30655,1,8.30655,Poles,Danes
node_16194,node_10368,9.10312,1,9.10312,Poles,Danes
node_16200,node_10200,8.88581,1,8.88581,Poles,Danes
node_16214,node_11567,8.719,1,8.719,Poles,Swedes
node_16248,node_10220,8.66165,1,8.66165,Poles,Danes
node_15,node_1846,8.62122,1,8.62122,Estonians,Swedes
node_15,node_1877,9.56044,1,9.56044,Estonians,Swedes
node_15,node_8827,10.1016,1,10.1016,Estonians,Swedes
node_15,node_8857,8.39803,1,8.39803,Estonians,Swedes
node_15,node_8860,8.93433,1,8.93433,Estonians,Swedes
node_15,node_9912,12.2625,1,12.2625,Estonians,Swedes
node_15,node_11471,10.0513,1,10.0513,Estonians,Norwegians
node_17,node_1859,12.0068,1,12.0068,Estonians,Swedes
node_17,node_8842,11.5773,1,11.5773,Estonians,Swedes
node_17,node_8879,9.4756,1,9.4756,Estonians,Swedes
node_17,node_8936,12.7119,1,12.7119,Estonians,Norwegians
node_17,node_9920,9.53847,1,9.53847,Estonians,Swedes
node_17,node_11546,18.0645,2,10.744,Estonians,Swedes
node_18,node_1894,8.18158,1,8.18158,Estonians,Swedes
node_40,node_9317,11.3337,1,11.3337,"Dolgans,Yakuts",Norwegians
node_112,node_8891,8.62505,1,8.62505,Kazakhs,Swedes
node_169,node_8844,8.46195,1,8.46195,"Udmurts,Besermyan",Swedes
node_183,node_9917,8.13773,1,8.13773,Uzbeks,Swedes
node_212,node_1889,8.3954,1,8.3954,"Udmurts,Besermyan",Swedes
node_224,node_8868,9.99262,1,9.99262,"Tatars,Volga-Tatars,Mishar-Tatars,Kryashens",Swedes
node_224,node_11527,8.17948,1,8.17948,"Tatars,Volga-Tatars,Mishar-Tatars,Kryashens",Swedes
node_233,node_8879,8.80074,1,8.80074,Ket,Swedes
node_238,node_9132,8.67371,1,8.67371,Ket,Norwegians
node_241,node_9132,8.67371,1,8.67371,Ket,Norwegians
node_256,node_9897,9.47304,1,9.47304,Mordvins,Swedes
node_263,node_1849,8.76104,1,8.76104,Mordvins,Swedes
node_291,node_1898,9.4281,1,9.4281,Bashkirs,Swedes
node_292,node_11653,9.20976,1,9.20976,Bashkirs,Swedes
node_323,node_9242,8.08787,1,8.08787,"Kabardians,Cherkess,Adygeans",Norwegians
node_340,node_11651,8.18636,1,8.18636,Kyrgyz,Swedes
node_414,node_8838,8.26321,1,8.26321,Mordvins,Swedes
node_416,node_1818,8.11949,1,8.11949,Mordvins,Swedes
node_421,node_8926,8.48155,1,8.48155,Mordvins,Swedes
node_423,node_9357,8.36227,1,8.36227,Mordvins,Norwegians
node_426,node_8908,9.63458,1,9.63458,Mordvins,Swedes
node_426,node_11567,9.63458,1,9.63458,Mordvins,Swedes
node_427,node_8839,8.20306,1,8.20306,"Karelians,Veps",Swedes
node_427,node_8908,9.56583,1,9.56583,"Karelians,Veps",Swedes
node_427,node_11531,8.01123,1,8.01123,"Karelians,Veps",Swedes
node_427,node_11585,8.68926,1,8.68926,"Karelians,Veps",Swedes
node_427,node_11598,8.33607,1,8.33607,"Karelians,Veps",Swedes
node_429,node_1800,9.61229,1,9.61229,"Karelians,Veps",Swedes
node_429,node_8837,8.38261,1,8.38261,"Karelians,Veps",Swedes
node_429,node_8880,9.88969,1,9.88969,"Karelians,Veps",Swedes
node_429,node_8886,10.8601,1,10.8601,"Karelians,Veps",Swedes
node_429,node_8904,9.86332,1,9.86332,"Karelians,Veps",Swedes
node_429,node_11542,9.22342,1,9.22342,"Karelians,Veps",Swedes
node_429,node_11550,8.91008,1,8.91008,"Karelians,Veps",Swedes
node_430,node_11481,8.41778,1,8.41778,Belarusians,Norwegians
node_433,node_8843,8.16815,1,8.16815,Ukrainians,Swedes
node_435,node_11614,11.2358,1,11.2358,Belarusians,Swedes
node_439,node_8852,8.76451,1,8.76451,Belarusians,Swedes
node_447,node_1853,9.84558,1,9.84558,Chuvash,Swedes
node_448,node_8865,8.63403,1,8.63403,Chuvash,Swedes
