node_id1,node_id2,ibd_sum,ibd_n,ibd_max,label_id1,label_id2
node_2,node_11860,8.63046,1,8.63046,Estonians,Irish
node_7,node_5839,8.97188,1,8.97188,Estonians,Germans
node_12,node_907,12.0234,1,12.0234,Estonians,English
node_13,node_12127,9.8376,1,9.8376,Estonians,Germans
node_16102,node_5724,8.08103,1,8.08103,Poles,Germans
node_16108,node_5941,9.41816,1,9.41816,Poles,Germans
node_16111,node_6008,8.35201,1,8.35201,Poles,Germans
node_16115,node_10769,8.10429,1,8.10429,Poles,Belgium
node_16118,node_2412,9.89745,1,9.89745,Poles,French
node_16119,node_5790,8.65404,1,8.65404,Poles,Germans
node_16121,node_11191,9.38177,1,9.38177,Poles,Germans
node_16121,node_12137,9.38643,1,9.38643,Poles,Germans
node_16123,node_11185,9.18403,1,9.18403,Poles,Germans
node_16124,node_5811,8.05603,1,8.05603,Poles,Germans
node_16125,node_11104,8.23059,1,8.23059,Poles,Germans
node_16126,node_5033,9.74434,1,9.74434,Poles,Germans
node_16130,node_11423,9.17475,1,9.17475,Poles,English
node_16131,node_5720,9.98895,1,9.98895,Poles,Germans
node_16131,node_5947,8.50113,1,8.50113,Poles,Germans
node_16141,node_5026,8.64695,1,8.64695,Poles,Germans
node_16141,node_12132,8.00411,1,8.00411,Poles,Germans
node_16147,node_5845,8.24666,1,8.24666,Poles,Germans
node_16147,node_11092,8.89581,1,8.89581,Poles,Germans
node_16152,node_6103,9.51721,1,9.51721,Poles,Germans
node_16153,node_5781,8.19274,1,8.19274,Poles,Germans
node_16156,node_6031,8.71811,1,8.71811,Poles,Germans
node_16161,node_11033,13.6769,1,13.6769,Poles,Germans
node_16175,node_6061,10.5917,1,10.5917,Poles,Germans
node_16176,node_5111,8.39635,1,8.39635,Poles,Germans
node_16176,node_11153,10.409,1,10.409,Poles,Germans
node_16179,node_10625,9.40022,1,9.40022,Poles,Belgium
node_16182,node_5103,9.19424,1,9.19424,Poles,Germans
node_16183,node_11061,9.23546,1,9.23546,Poles,Germans
node_16187,node_5079,8.1904,1,8.1904,Poles,Germans
node_16191,node_5919,9.01643,1,9.01643,Poles,Germans
node_16193,node_11207,10.4073,1,10.4073,Poles,Germans
node_16201,node_11094,8.29506,1,8.29506,Poles,Germans
node_16203,node_10632,8.25738,1,8.25738,Poles,Belgium
node_16205,node_5953,8.06534,1,8.06534,Poles,Germans
node_16207,node_12111,8.73393,1,8.73393,Poles,Germans
node_16211,node_11109,8.51734,1,8.51734,Poles,Germans
node_16213,node_9709,8.55102,1,8.55102,Poles,English
node_16214,node_5689,8.22421,1,8.22421,Poles,Germans
node_16215,node_6075,11.3037,1,11.3037,Poles,Germans
node_16217,node_11039,8.3577,1,8.3577,Poles,Germans
node_16219,node_6009,8.02973,1,8.02973,Poles,Germans
node_16219,node_11169,9.86856,1,9.86856,Poles,Germans
node_16220,node_6109,8.23975,1,8.23975,Poles,Germans
node_16223,node_1208,17.3834,1,17.3834,Poles,English
node_16225,node_11195,8.09331,1,8.09331,Poles,Germans
node_16229,node_2542,8.39399,1,8.39399,Poles,French
node_16230,node_11167,8.2163,1,8.2163,Poles,Germans
node_16234,node_11838,8.07377,1,8.07377,Poles,English
node_16241,node_2542,8.26989,1,8.26989,Poles,French
node_16245,node_5137,8.61389,1,8.61389,Poles,Germans
node_16247,node_5980,10.1428,1,10.1428,Poles,Germans
node_16247,node_11036,8.43194,1,8.43194,Poles,Germans
node_14,node_824,8.17141,1,8.17141,Estonians,English
node_14,node_950,8.01397,1,8.01397,Estonians,English
node_16,node_1105,8.46893,1,8.46893,Estonians,English
