,node_id1,node_id2,label_id1,label_id2,ibd_sum
0,node_0,node_4,мордвины,мордвины,29.8172
1,node_0,node_8,мордвины,мордвины,11.6322
2,node_0,node_9,мордвины,мордвины,23.9044
3,node_0,node_18,мордвины,мордвины,8.83162
4,node_0,node_19,мордвины,мордвины,8.68091
5,node_0,node_241,мордвины,южные-русские,8.06633
6,node_0,node_464,мордвины,северные-русские,9.49832
7,node_0,node_555,мордвины,белорусы,8.85877
8,node_0,node_794,мордвины,северные-русские,8.6797
9,node_0,node_956,мордвины,южные-русские,8.55866
10,node_0,node_1024,мордвины,северные-русские,8.38051
11,node_0,node_1226,мордвины,южные-русские,8.06633
12,node_0,node_1336,мордвины,украинцы,12.4729
13,node_0,node_1529,мордвины,южные-русские,8.26762
14,node_0,node_44,мордвины,мордвины,9.73823
15,node_0,node_54,мордвины,мордвины,9.81949
16,node_0,node_1586,мордвины,мордвины,9.43231
17,node_0,node_1703,мордвины,южные-русские,11.2204
18,node_0,node_2196,мордвины,южные-русские,9.68256
19,node_0,node_2204,мордвины,южные-русские,11.3173
20,node_1,node_2,мордвины,мордвины,10.1542
21,node_1,node_3,мордвины,мордвины,9.49673
22,node_1,node_11,мордвины,мордвины,14.4248
23,node_1,node_23,мордвины,мордвины,9.06252
24,node_1,node_24,мордвины,мордвины,8.11367
25,node_1,node_1167,мордвины,белорусы,9.46421
26,node_1,node_1238,мордвины,южные-русские,8.62372
27,node_1,node_1456,мордвины,южные-русские,8.03674
28,node_1,node_1577,мордвины,северные-русские,11.7508
29,node_1,node_1582,мордвины,мордвины,9.57069
30,node_1,node_59,мордвины,мордвины,10.0587
31,node_1,node_1968,мордвины,южные-русские,9.42342
32,node_1,node_2039,мордвины,северные-русские,9.47916
33,node_1,node_2076,мордвины,северные-русские,18.3251
34,node_1,node_2276,мордвины,северные-русские,8.02074
35,node_2,node_5,мордвины,мордвины,9.00609
36,node_2,node_10,мордвины,мордвины,9.31923
37,node_2,node_21,мордвины,мордвины,37.5573
38,node_2,node_1288,мордвины,северные-русские,9.57513
39,node_2,node_46,мордвины,мордвины,8.53354
40,node_2,node_1801,мордвины,южные-русские,11.5787
41,node_2,node_2093,мордвины,северные-русские,10.4725
42,node_2,node_2124,мордвины,южные-русские,8.85983
43,node_2,node_2391,мордвины,белорусы,9.1214
44,node_3,node_4,мордвины,мордвины,9.98856
45,node_3,node_17,мордвины,мордвины,9.40961
46,node_3,node_19,мордвины,мордвины,13.7275
47,node_3,node_24,мордвины,мордвины,50.8502
48,node_3,node_411,мордвины,южные-русские,8.90239
49,node_3,node_719,мордвины,южные-русские,8.215
50,node_3,node_743,мордвины,украинцы,8.83652
51,node_3,node_911,мордвины,южные-русские,8.87051
52,node_3,node_1760,мордвины,северные-русские,8.38411
53,node_4,node_16,мордвины,мордвины,26.8437
54,node_4,node_20,мордвины,мордвины,35.9343
55,node_4,node_865,мордвины,северные-русские,9.53016
56,node_4,node_1024,мордвины,северные-русские,8.95103
57,node_4,node_1028,мордвины,северные-русские,10.6289
58,node_4,node_43,мордвины,мордвины,8.30042
59,node_4,node_1586,мордвины,мордвины,14.9635
60,node_4,node_2124,мордвины,южные-русские,22.8629
61,node_4,node_2266,мордвины,южные-русские,8.04459
62,node_5,node_7,мордвины,мордвины,8.48968
63,node_5,node_9,мордвины,мордвины,15.8714
64,node_5,node_12,мордвины,мордвины,9.50179
65,node_5,node_14,мордвины,мордвины,20.9428
66,node_5,node_820,мордвины,южные-русские,11.6424
67,node_5,node_1025,мордвины,южные-русские,8.62544
68,node_5,node_1290,мордвины,северные-русские,9.04035
69,node_5,node_1625,мордвины,южные-русские,9.84311
70,node_5,node_2522,мордвины,белорусы,8.28355
71,node_6,node_9,мордвины,мордвины,42.8077
72,node_6,node_11,мордвины,мордвины,13.1878
73,node_6,node_13,мордвины,мордвины,16.0931
74,node_6,node_14,мордвины,мордвины,36.6113
75,node_6,node_16,мордвины,мордвины,15.6029
76,node_6,node_464,мордвины,северные-русские,20.2599
77,node_6,node_741,мордвины,северные-русские,8.8928
78,node_6,node_865,мордвины,северные-русские,9.98706
79,node_6,node_1038,мордвины,северные-русские,8.62138
80,node_6,node_1340,мордвины,южные-русские,8.14064
81,node_6,node_1448,мордвины,белорусы,9.28369
82,node_6,node_45,мордвины,мордвины,8.48505
83,node_6,node_46,мордвины,мордвины,10.0552
84,node_6,node_51,мордвины,мордвины,9.70062
85,node_6,node_59,мордвины,мордвины,9.90337
86,node_6,node_1736,мордвины,южные-русские,22.5093
87,node_6,node_1819,мордвины,южные-русские,9.09843
88,node_6,node_1913,мордвины,белорусы,8.29846
89,node_6,node_2154,мордвины,украинцы,8.47124
90,node_6,node_2329,мордвины,северные-русские,18.2062
91,node_6,node_2394,мордвины,южные-русские,9.37072
92,node_7,node_9,мордвины,мордвины,9.78285
93,node_7,node_22,мордвины,мордвины,8.82748
94,node_7,node_148,мордвины,северные-русские,8.15707
95,node_7,node_418,мордвины,южные-русские,9.39108
96,node_7,node_510,мордвины,южные-русские,12.9196
97,node_7,node_1357,мордвины,южные-русские,10.5823
98,node_7,node_1476,мордвины,южные-русские,10.2601
99,node_7,node_48,мордвины,мордвины,8.38133
100,node_7,node_50,мордвины,мордвины,8.30892
101,node_7,node_1760,мордвины,северные-русские,9.111
102,node_7,node_2125,мордвины,южные-русские,8.76136
103,node_7,node_2222,мордвины,южные-русские,9.54832
